solved,solution_depth,nodes_expanded,runtime
True,16,75,0.0007692000071983784
True,18,56,0.0005455000064102933
True,20,366,0.0033527000050526112
True,20,29,0.00029399999766610563
True,20,117,0.001080799993360415
True,20,284,0.00264239999523852
True,20,47,0.00046860000293236226
True,20,86,0.0008382999949390069
True,12,26,0.0002555999963078648
True,20,196,0.0017621000006329268
True,20,115,0.001199199992697686
True,18,292,0.002697099989745766
True,20,188,0.001693899990641512
True,16,36,0.00033710000570863485
True,20,717,0.006833300009020604
True,20,76,0.0007067999977152795
True,18,181,0.001756999990902841
True,18,261,0.0024855999945430085
True,18,323,0.0030984999903012067
True,16,138,0.001311499989242293
True,20,82,0.0007998000073712319
True,20,104,0.0009903999889502302
True,14,30,0.00028449999808799475
True,20,642,0.006010999990394339
True,20,113,0.0010811999964062124
True,18,41,0.000414699999964796
True,20,637,0.0059302000008756295
True,18,93,0.000767599995015189
True,20,476,0.004472100001294166
True,20,342,0.0033229999971808866
True,6,12,0.00013190000026952475
True,20,50,0.00044850000995211303
True,20,81,0.0007443999929819256
True,20,345,0.003260900004534051
True,18,509,0.004877899991697632
True,20,288,0.002657000004546717
True,20,253,0.0023886999988462776
True,14,49,0.000454699998954311
True,20,63,0.0005839999939780682
True,20,260,0.002420799995888956
True,14,36,0.0003563000063877553
True,16,41,0.00037710000469814986
True,20,54,0.0005038999952375889
True,16,270,0.0024747999996179715
True,20,923,0.008707700006198138
True,14,23,0.0002111000067088753
True,20,250,0.002253500002552755
True,20,228,0.002114699993398972
True,20,153,0.0014523999998345971
True,20,473,0.00497739999264013
True,20,492,0.004560399989713915
True,18,125,0.0011255999997956678
True,20,211,0.0019153000030200928
True,20,61,0.0005689000099664554
True,20,767,0.007268800007295795
True,18,24,0.0002195000124629587
True,20,288,0.002496799992513843
True,14,36,0.0003428000054555014
True,20,88,0.0007896000024629757
True,20,61,0.0005722999921999872
True,10,14,0.00013760000001639128
True,10,15,0.0001500000071246177
True,20,711,0.00674579999758862
True,14,38,0.00034589999995660037
True,20,300,0.002802299990435131
True,20,256,0.0023049000010360032
True,20,272,0.0025242999981855974
True,20,55,0.000521100009791553
True,20,63,0.0005721000052290037
True,20,76,0.0007035000016912818
True,20,129,0.0011949000036111102
True,20,246,0.0022868999949423596
True,20,304,0.002721400000154972
True,20,48,0.0004389000096125528
True,20,462,0.004246600001351908
True,14,118,0.0010869999969145283
True,20,48,0.0004071000003023073
True,20,87,0.0007877999887568876
True,20,360,0.0033594999986235052
True,20,196,0.0019060999911744148
True,18,160,0.0014643000031355768
True,20,32,0.0002872000040952116
True,20,77,0.0006972999981371686
True,12,16,0.00017059998936019838
True,20,849,0.0078576000087196
True,20,93,0.0008354999881703407
True,20,22,0.00020599999697878957
True,18,858,0.007793600001605228
True,20,313,0.0029288999940035865
True,20,124,0.0011295000003883615
True,20,1811,0.016935299994656816
True,20,163,0.0014716000005137175
True,16,79,0.0007543999963672832
True,20,139,0.00130899999930989
True,20,789,0.010688599999411963
True,16,74,0.0007053000008454546
True,20,157,0.0014276000001700595
True,20,233,0.0021385000000009313
True,20,140,0.0012463000020943582
True,20,177,0.0016768000059528276
