solved,solution_depth,nodes_expanded,runtime
True,16,363,0.001959000001079403
True,18,819,0.0043910999957006425
True,20,3571,0.01937520000501536
True,20,3172,0.036482099996646866
True,20,1828,0.009908899999572895
True,20,2779,0.014913499995600432
True,20,1596,0.008826299992506392
True,20,1280,0.006798900009016506
True,12,89,0.00045610000961460173
True,20,2312,0.012434300006134436
True,20,2568,0.014340000008814968
True,18,1372,0.007336200011195615
True,20,3046,0.016383399997721426
True,16,202,0.0009821999992709607
True,20,5476,0.02920040000753943
True,20,1726,0.00946980000298936
True,18,1113,0.005773400000180118
True,18,1630,0.021219400005065836
True,18,1743,0.009413899999344721
True,16,523,0.0026283000042894855
True,20,1586,0.008861999987857416
True,20,1749,0.009926200000336394
True,14,76,0.0003843000013148412
True,20,4671,0.025198799994541332
True,20,1373,0.0074791999941226095
True,18,483,0.0025735999952303246
True,20,5418,0.028923499994562007
True,18,282,0.0013676000089617446
True,20,2984,0.01557620000676252
True,20,2873,0.0165015999955358
True,6,16,8.290000550914556e-05
True,20,1151,0.019798700013780035
True,20,2251,0.01210690000152681
True,20,3768,0.020797800010768697
True,18,3857,0.021035499987192452
True,20,2963,0.01707899999746587
True,20,4626,0.02537750000192318
True,14,117,0.0005767999973613769
True,20,1226,0.00666800000180956
True,20,3604,0.019033000004128553
True,14,115,0.0006437000120058656
True,16,191,0.0009591999987605959
True,20,1188,0.021385299987741746
True,16,1110,0.005840800004079938
True,20,8005,0.044577699998626485
True,14,117,0.0005767999973613769
True,20,3127,0.01680940001097042
True,20,1992,0.010465899991686456
True,20,4672,0.02577269999892451
True,20,3453,0.03503389999968931
True,20,4415,0.024206499991123565
True,18,924,0.004793599990080111
True,20,3771,0.02004109999688808
True,20,645,0.003313900000648573
True,20,5894,0.03197919999365695
True,18,490,0.0026840999926207587
True,20,2096,0.01103280000097584
True,14,81,0.0004132000030949712
True,20,1391,0.007499999992433004
True,20,1063,0.0057594999962020665
True,10,20,0.00024020001001190394
True,10,33,0.0001573999907122925
True,20,3811,0.03593379999801982
True,14,103,0.0005120999994687736
True,20,2958,0.01700649999838788
True,20,2814,0.014745400010724552
True,20,3815,0.020416300001670606
True,20,1498,0.008202600001823157
True,20,989,0.00524270000460092
True,20,2773,0.014884699994581752
True,20,2067,0.01105709999683313
True,20,2058,0.01094980000925716
True,20,5026,0.027650500007439405
True,20,1981,0.022364599994034506
True,20,4689,0.025445399995078333
True,14,428,0.002210699996794574
True,20,594,0.0029903000104241073
True,20,1355,0.007040399999823421
True,20,3740,0.020255999988876283
True,20,5639,0.030737200009752996
True,18,881,0.004476799993426539
True,20,1845,0.009691200000816025
True,20,1645,0.009108099999139085
True,12,29,0.00024309998843818903
True,20,4282,0.03656510000291746
True,20,1344,0.0070909000060055405
True,20,929,0.004844700000830926
True,18,2760,0.01423600000271108
True,20,3087,0.016506300002220087
True,20,2380,0.012840800001868047
True,20,12149,0.0881297000014456
True,20,1233,0.0062500999920303
True,16,731,0.00487599999178201
True,20,2502,0.013445399992633611
True,20,8419,0.04737849999219179
True,16,660,0.003359099995577708
True,20,3059,0.016194299998460338
True,20,2924,0.016858399991178885
True,20,1097,0.017385600003763102
True,20,4216,0.022968700010096654
