solved,solution_depth,nodes_expanded,runtime
True,16,65,0.0016048999968916178
True,18,56,0.0014436000055866316
True,20,257,0.00621089999913238
True,20,24,0.0005959999980404973
True,20,96,0.0022960000060265884
True,20,106,0.002455599998938851
True,20,35,0.0008648999937577173
True,20,78,0.001831099987612106
True,12,26,0.0006858999986434355
True,20,97,0.00217720000364352
True,20,97,0.002450100000714883
True,18,158,0.003722399997059256
True,20,174,0.00403369999548886
True,16,32,0.000826000003144145
True,20,298,0.007082600001012906
True,20,58,0.001370500001939945
True,18,163,0.003967600001487881
True,18,215,0.005257200013147667
True,18,260,0.006562900001881644
True,16,119,0.002922800005762838
True,20,58,0.001418800005922094
True,20,79,0.0019847000075969845
True,14,30,0.0007429999968735501
True,20,535,0.013187600008677691
True,20,63,0.0016118999919854105
True,18,41,0.001090299992938526
True,20,492,0.01201059999584686
True,18,93,0.0019409999949857593
True,20,391,0.009194900005240925
True,20,252,0.006288700009463355
True,6,12,0.0003234000032534823
True,20,50,0.001153600009274669
True,20,72,0.0016759000136516988
True,20,166,0.004133700000238605
True,18,433,0.011314999996102415
True,20,141,0.0033309999998891726
True,20,152,0.003735999998752959
True,14,49,0.0012504999904194847
True,20,37,0.0009024000028148293
True,20,78,0.0019420000026002526
True,14,36,0.0009759999957168475
True,16,41,0.001026600002660416
True,20,51,0.00123639999947045
True,16,238,0.005983100010780618
True,20,681,0.01695040000777226
True,14,17,0.0004045999958179891
True,20,96,0.002239299996290356
True,20,117,0.002766500008874573
True,20,100,0.0024938999995356426
True,20,318,0.007937799993669614
True,20,167,0.0038014000019757077
True,18,55,0.0012882000009994954
True,20,152,0.0035835000016959384
True,20,61,0.0014750999980606139
True,20,333,0.008175299997674301
True,18,24,0.0005734000005759299
True,20,177,0.004142399993725121
True,14,36,0.0009103999909712002
True,20,40,0.0009114999993471429
True,20,29,0.0007175999926403165
True,10,14,0.00037340000562835485
True,10,15,0.0004216999950585887
True,20,443,0.010672400007024407
True,14,38,0.000933699993765913
True,20,238,0.00583530000585597
True,20,242,0.0055776000081095845
True,20,128,0.003022599994437769
True,20,38,0.0009378000104334205
True,20,63,0.0015035999967949465
True,20,29,0.0007034000009298325
True,20,61,0.0015260000072885305
True,20,102,0.0027827999874716625
True,20,214,0.0049943999911192805
True,20,47,0.0010672999924281612
True,20,293,0.007076800000504591
True,14,91,0.002241800000774674
True,20,33,0.0007143999973777682
True,20,87,0.0021453999943332747
True,20,227,0.005490199997439049
True,20,114,0.0028750000055879354
True,18,88,0.0021228999976301566
True,20,22,0.0005188999930396676
True,20,59,0.0017145000019809231
True,12,13,0.0005072999920230359
True,20,538,0.01308259999495931
True,20,93,0.0020660000009229407
True,20,22,0.0005554999952437356
True,18,365,0.009584400002495386
True,20,153,0.003906600002665073
True,20,59,0.0013500000059138983
True,20,866,0.020710900003905408
True,20,159,0.0038083999970695004
True,16,77,0.001903099997434765
True,20,101,0.0024505999899702147
True,20,355,0.009692499996162951
True,16,65,0.00162899999122601
True,20,127,0.0029291000100784004
True,20,48,0.0011355999886291102
True,20,140,0.0031767999898875132
True,20,119,0.0028824000037275255
