solved,solution_depth,nodes_expanded,runtime
True,20,499,0.0032601999992039055
True,20,3890,0.027051600001868792
True,20,1099,0.007272899994859472
True,20,842,0.0055148999963421375
True,20,208,0.0013349999935599044
True,20,562,0.0035783000057563186
True,18,749,0.02784510000492446
True,20,214,0.0014072000049054623
True,20,280,0.001716300001135096
True,20,134,0.0008850999874994159
True,20,4913,0.033387999996193685
True,20,262,0.0016694000078132376
True,20,2773,0.018376200008788146
True,20,7899,0.052433400007430464
True,20,2478,0.01601259999733884
True,20,284,0.0017557999963173643
True,16,876,0.005575400005909614
True,20,213,0.0013164999982109293
True,18,410,0.002528599987272173
True,18,3306,0.022033999994164333
True,20,386,0.002522099995985627
True,20,297,0.0019659000099636614
True,14,37,0.0002238000015495345
True,20,10431,0.08850769999844488
True,20,2619,0.017003100001602434
True,20,1052,0.007012099988060072
True,20,1140,0.007550199996330775
True,20,566,0.003492600008030422
True,18,156,0.000982600002316758
True,18,84,0.0005119999987073243
True,20,866,0.006452600006014109
True,4,5,3.190001007169485e-05
True,20,2763,0.018722900000284426
True,20,3066,0.033595400003832765
True,20,1133,0.007463799993274733
True,20,945,0.006084699998609722
True,20,1202,0.008946400004788302
True,20,333,0.0021984999912092462
True,20,1210,0.008237999994889833
True,20,206,0.0013266999885672703
True,20,110,0.0006774999928893521
True,20,1018,0.006444300001021475
True,20,2017,0.012933999998494983
True,18,5833,0.03873529999691527
True,20,307,0.0020451000018510967
True,18,310,0.0018888000049628317
True,20,502,0.0032256999984383583
True,20,362,0.002340200007893145
True,16,128,0.0007762000022921711
True,18,1340,0.02169730000605341
True,20,2027,0.013831300006131642
True,20,1312,0.00838879999355413
True,20,2778,0.018318200003704987
True,20,410,0.0026864000101340935
True,20,8959,0.05953139999473933
True,20,174,0.0013768000062555075
True,20,466,0.003675400002975948
True,20,1968,0.013260299994726665
True,20,211,0.0013977000053273514
True,20,74,0.00044779999007005244
True,20,1603,0.010294699997757562
True,12,17,9.940000018104911e-05
True,20,1870,0.014162699997541495
True,20,371,0.002274700003908947
True,20,690,0.004528100005700253
True,18,1502,0.00974300000234507
True,20,443,0.002811800004565157
True,20,304,0.0020050000021001324
True,20,563,0.003569499996956438
True,20,380,0.0023677999997744337
True,20,313,0.002058099998976104
True,20,1354,0.008855799998855218
True,20,287,0.0019841000030282885
True,18,762,0.00494849999086
True,16,319,0.0020712000114144757
True,18,1564,0.009880199999315664
True,16,201,0.0012128000089433044
True,20,2017,0.012918000007630326
True,18,55,0.0003476000129012391
True,18,1391,0.00939329998800531
True,20,774,0.004975000003469177
True,18,42,0.0002447000006213784
True,18,186,0.00116379999963101
True,20,2501,0.030220200002077036
True,18,2127,0.01382769999327138
True,20,3237,0.02805439999792725
True,20,1453,0.009383900003740564
True,20,736,0.004736900009447709
True,20,4838,0.03134370000043418
True,20,219,0.0014127000031294301
True,20,169,0.0011760999914258718
True,16,210,0.0013299999991431832
True,16,131,0.0007815000135451555
True,20,1417,0.00970519999100361
True,20,10660,0.08858199999667704
True,20,133,0.0008550999918952584
True,18,65,0.00039260000630747527
True,20,1721,0.011101500000222586
True,16,121,0.0007076000038068742
True,20,1920,0.012902000002213754
