solved,solution_depth,nodes_expanded,runtime
True,20,125,0.0016585000121267512
True,20,493,0.006910600000992417
True,20,314,0.004300500004319474
True,20,32,0.0004496000037761405
True,20,49,0.0006080999883124605
True,20,47,0.0006423000013455749
True,18,129,0.0019144999969284981
True,20,40,0.000562699991860427
True,20,72,0.0009263999963877723
True,20,45,0.0006041000015102327
True,20,264,0.00355660000059288
True,20,30,0.00039650000690016896
True,20,73,0.0009581000049365684
True,20,1630,0.034314899996388704
True,20,242,0.003372999999555759
True,20,48,0.0006359000108204782
True,16,356,0.00493530000676401
True,20,81,0.0010395999997854233
True,18,128,0.0017162000003736466
True,18,498,0.0068073000002186745
True,20,34,0.0005038999952375889
True,20,25,0.000335000004270114
True,14,29,0.00033760000951588154
True,20,1253,0.017708500003209338
True,20,226,0.0030694000015500933
True,20,69,0.0009452000085730106
True,20,102,0.0014127999893389642
True,20,113,0.0014528000028803945
True,18,54,0.0007188000017777085
True,18,23,0.0003063999902224168
True,20,45,0.0006131999980425462
True,4,5,6.990000838413835e-05
True,20,203,0.0027676000026986003
True,20,283,0.004046900008688681
True,20,129,0.0018998999876203015
True,20,27,0.0003328000020701438
True,20,77,0.0011283999920124188
True,20,45,0.000593400007346645
True,20,87,0.0012227999977767467
True,20,47,0.0006481999880634248
True,20,48,0.0005913000059081241
True,20,218,0.0029928000003565103
True,20,245,0.0033073000086005777
True,18,1853,0.026001399994129315
True,20,104,0.0014016999921295792
True,18,51,0.0006242999952519313
True,20,92,0.0012711000017588958
True,20,65,0.0009191999997710809
True,16,29,0.00039760000072419643
True,18,107,0.0019266000017523766
True,20,192,0.003428299998631701
True,20,438,0.005883499994524755
True,20,193,0.0026120999973500147
True,20,66,0.0009320000099251047
True,20,1102,0.028305700005148537
True,20,37,0.0005136999971000478
True,20,52,0.0007391999970423058
True,20,227,0.0031485999934375286
True,20,42,0.000528200005646795
True,20,23,0.0002880000101868063
True,20,429,0.005828800000017509
True,12,15,0.00019159998919349164
True,20,260,0.003497800003970042
True,20,72,0.0008842999959597364
True,20,81,0.001048100006300956
True,18,191,0.0025067000096896663
True,20,64,0.0008563000010326505
True,20,21,0.0002759000053629279
True,20,116,0.0014614000101573765
True,20,115,0.0014731999981449917
True,20,38,0.0005047000013291836
True,20,328,0.004432100002304651
True,20,31,0.00043590000132098794
True,18,97,0.0012906000047223642
True,16,78,0.0010930999997071922
True,18,127,0.0016672000056132674
True,16,77,0.000996100003249012
True,20,287,0.003979400004027411
True,18,25,0.00033319999056402594
True,18,65,0.0009101000032387674
True,20,85,0.0014608999917982146
True,18,29,0.0003600999916670844
True,18,32,0.00042240000038873404
True,20,228,0.0031143999949563295
True,18,313,0.004359900005511008
True,20,645,0.008927199989557266
True,20,70,0.0009726999996928498
True,20,254,0.0034466999932192266
True,20,592,0.008207899998524226
True,20,38,0.0005301999917719513
True,20,45,0.0006171999993966892
True,16,40,0.0005476000078488141
True,16,36,0.0005035999929532409
True,20,89,0.0013426999939838424
True,20,926,0.012937100007547997
True,20,25,0.00032929998997133225
True,18,35,0.0004467999970074743
True,20,214,0.0028347000043140724
True,16,53,0.000723599994671531
True,20,282,0.003910900006303564
