solved,solution_depth,nodes_expanded,runtime
True,16,99,0.0012789000029442832
True,20,80,0.000978600000962615
True,18,417,0.005204600005527027
True,16,22,0.0002789999998640269
True,20,310,0.0038244000024860725
True,14,75,0.0010215999936917797
True,20,373,0.00472559999616351
True,14,59,0.0007710000063525513
True,20,111,0.0013374000118346885
True,16,121,0.001578800001880154
True,14,44,0.0006329999887384474
True,18,29,0.00036869999894406646
True,18,203,0.0025485999940428883
True,14,18,0.00022560000070370734
True,16,152,0.0019328000053064898
True,14,38,0.0005085000011604279
True,16,83,0.0011014000046998262
True,20,509,0.00638940000499133
True,20,236,0.0028590000001713634
True,18,162,0.0020653000101447105
True,20,85,0.0010726000036811456
True,20,225,0.002711199995246716
True,20,397,0.004868600008194335
True,12,13,0.00018269999418407679
True,20,518,0.006659199993009679
True,20,449,0.005936200002906844
True,10,19,0.00028369999199640006
True,16,207,0.002649700007168576
True,20,268,0.003230499991332181
True,16,22,0.00028509998810477555
True,20,181,0.0022203999978955835
True,14,82,0.0011020000092685223
True,18,241,0.003014599991729483
True,20,247,0.003441900000325404
True,20,239,0.002959799996460788
True,16,45,0.0005852000031154603
True,18,154,0.002030100004049018
True,18,232,0.00326840000343509
True,20,83,0.0010181000106967986
True,14,65,0.0008383000094909221
True,20,424,0.005651699990266934
True,16,158,0.0025802999880397692
True,20,92,0.0011299000034341589
True,20,276,0.003470199997536838
True,20,384,0.004720299999462441
True,14,24,0.00031289999606087804
True,18,252,0.003119800006970763
True,20,197,0.002392200010945089
True,18,36,0.0004650000046240166
True,20,489,0.00832059999811463
True,20,387,0.004801300005055964
True,20,266,0.003438200001255609
True,18,142,0.0017813000013120472
True,20,346,0.004263599999831058
True,18,151,0.001901800002087839
True,18,81,0.0010245000012218952
True,6,7,0.00010070001007989049
True,12,27,0.0003924000047845766
True,12,46,0.0005973999941488728
True,18,337,0.004354899996542372
True,20,247,0.0034014999982900918
True,16,39,0.0004925000102957711
True,18,147,0.0018794999923557043
True,16,176,0.002246300005936064
True,20,254,0.003099100009421818
True,16,117,0.001488699999754317
True,18,111,0.0013503000081982464
True,18,163,0.00203499999770429
True,18,143,0.0018192999996244907
True,18,207,0.0025579000066500157
True,18,138,0.001680699991993606
True,18,225,0.0028771000070264563
True,8,9,0.0001281000004382804
True,16,87,0.0011213999969186261
True,20,406,0.0049968000093940645
True,18,265,0.0032601999992039055
True,20,281,0.0034747000026982278
True,20,459,0.005738899999414571
True,16,152,0.0019589000003179535
True,18,163,0.002039300001342781
True,14,58,0.0007424000068567693
True,18,234,0.0030504000023938715
True,14,58,0.0007621999975526705
True,20,185,0.0023886000126367435
True,16,67,0.0008849000005284324
True,18,202,0.0026141999987885356
True,18,108,0.001414800004567951
True,16,103,0.0013410999963525683
True,12,24,0.00033459998667240143
True,18,131,0.0016579999937675893
True,16,62,0.0008259000023826957
True,20,31,0.00047950001317076385
True,20,243,0.0032592000061413273
True,18,159,0.0022112000006018206
True,20,295,0.0036951000074623153
True,16,25,0.00033660000190138817
True,16,46,0.0005982000002404675
True,20,167,0.0020501999970292673
True,18,114,0.0014244000049075112
True,18,110,0.0013879000034648925
