d,h1 (Misplaced),h2 (Manhattan),h3 (Linear Conflict)
6,7,7,7
8,9,9,9
10,49,23,19
12,101,36,27
14,241,69,52
16,592,137,93
18,1457,272,174
20,3419,458,278
