solved,solution_depth,nodes_expanded,runtime
True,16,161,0.0009101000032387674
True,20,93,0.0005262999911792576
True,18,560,0.0031460000027436763
True,16,35,0.00019550000433810055
True,20,462,0.0027762000099755824
True,14,96,0.000563900000997819
True,20,584,0.003303400008007884
True,14,76,0.00042389999725855887
True,20,161,0.0009169999975711107
True,16,206,0.00115489999006968
True,14,70,0.0003983000060543418
True,18,37,0.0002086000022245571
True,18,297,0.0016696999955456704
True,14,25,0.0001365000061923638
True,16,227,0.0012710000009974465
True,14,44,0.00025519999326206744
True,16,136,0.0007815999997546896
True,20,815,0.004585300004691817
True,20,432,0.0024290000001201406
True,18,257,0.0014300000038929284
True,20,188,0.0010546999983489513
True,20,363,0.00199350000184495
True,20,656,0.0036933999945176765
True,12,18,0.00010790000669658184
True,20,853,0.004737600000225939
True,20,688,0.003978000007919036
True,10,23,0.00014029999147169292
True,16,285,0.0016035999869927764
True,20,590,0.00336099999549333
True,16,35,0.00019970000721514225
True,20,337,0.0018534999981056899
True,14,116,0.0006710999878123403
True,18,436,0.0024304999969899654
True,20,549,0.0031944000074872747
True,20,323,0.0018342999974265695
True,16,68,0.0003956000000471249
True,18,216,0.001232399998116307
True,18,412,0.0032318999874405563
True,20,130,0.0007317999989027157
True,14,95,0.0005470000032801181
True,20,681,0.004378699988592416
True,16,179,0.0012642999936360866
True,20,228,0.0013261999993119389
True,20,471,0.0026954000059049577
True,20,605,0.00347660000261385
True,14,35,0.00019580000662244856
True,18,340,0.0019143999961670488
True,20,317,0.001783400002750568
True,18,64,0.00035620000562630594
True,20,694,0.003864300000714138
True,20,554,0.0031639000080758706
True,20,475,0.002680700010387227
True,18,218,0.0012206000101286918
True,20,687,0.003887600003508851
True,18,262,0.001457299993489869
True,18,97,0.0005483999993884936
True,6,7,4.600000102072954e-05
True,12,28,0.00017169999773614109
True,12,60,0.00033989999792538583
True,18,590,0.00342770000861492
True,20,388,0.002340200007893145
True,16,57,0.0003257000062149018
True,18,290,0.0016266000020550564
True,16,260,0.0014651000092271715
True,20,350,0.0020363000076031312
True,16,149,0.0008468000014545396
True,18,147,0.0008550000056857243
True,18,262,0.0014905000134604052
True,18,227,0.0013042000064160675
True,18,266,0.0014923999988241121
True,18,176,0.0010168000007979572
True,18,353,0.002186400000937283
True,8,9,6.049999501556158e-05
True,16,143,0.0008036000072024763
True,20,592,0.003326499994727783
True,18,451,0.002563200003351085
True,20,563,0.003168999988702126
True,20,709,0.004032699987874366
True,16,227,0.0012620000052265823
True,18,195,0.0011408999998820946
True,14,60,0.0003453999961493537
True,18,327,0.001868899998953566
True,14,76,0.00043820000428240746
True,20,322,0.001949199999216944
True,16,74,0.00042969999776687473
True,18,342,0.0019213999912608415
True,18,211,0.0011781000066548586
True,16,151,0.0008689999958733097
True,12,39,0.0002204000047640875
True,18,260,0.0014949999895179644
True,16,109,0.0006367000023601577
True,20,31,0.00021389999892562628
True,20,390,0.002199900001869537
True,18,238,0.0013944999955128878
True,20,499,0.002852699995855801
True,16,48,0.00027829999453388155
True,16,61,0.00034699999378062785
True,20,279,0.0015721999952802435
True,18,205,0.0012024000025121495
True,18,179,0.0010331000084988773
