Solution Depth,h1 (Misplaced) Nodes Expanded,h1 (Misplaced) Branching Factor,h2 (Manhattan) Nodes Expanded,h2 (Manhattan) Branching Factor,h3 (Linear Conflict) Nodes Expanded,h3 (Linear Conflict) Branching Factor
6,7,1.0,7,1.0,7,1.0
8,9,1.0,9,1.0,9,1.0
10,49,1.27,23,1.14,19,1.1
12,101,1.3,36,1.15,27,1.1
14,241,1.34,69,1.18,52,1.15
16,592,1.37,137,1.21,93,1.16
18,1457,1.4,272,1.24,174,1.2
20,3419,1.41,458,1.24,278,1.2
